delivery_id,po_id,vendor_id,scheduled_delivery_date,actual_delivery_date,quantity_delivered
1,1,1,2025-11-18,2025-11-17,1000
2,2,2,2025-11-23,2025-11-23,500
3,3,3,2025-12-03,2025-12-05,1500
4,4,4,2025-12-08,2025-12-08,800
5,5,5,2025-12-09,2025-12-10,2000
6,1,1,2025-12-16,2025-12-20,1100
7,2,2,2025-12-21,2025-12-19,600
8,3,3,2026-01-04,2025-01-07,1600
9,4,4,2026-01-09,2026-01-08,900
10,5,5,2026-01-06,2026-01-06,2100
11,6,6,2025-11-28,2025-11-28,1200
12,7,7,2025-12-05,2025-12-06,450
13,8,8,2025-12-12,2025-12-11,800
14,9,9,2025-12-18,2025-12-19,600
15,10,10,2026-01-02,2026-01-01,550
