po_id,vendor_id,order_value,quantity,unit_price,po_date,required_date,planned_delivery,status
1,1,50000.00,1000,50.00,2025-11-01,2025-11-20,2025-11-18,Delivered
2,2,35000.00,500,70.00,2025-11-05,2025-11-25,2025-11-23,Delivered
3,3,75000.00,1500,50.00,2025-11-10,2025-12-05,2025-12-03,Delivered
4,4,60000.00,800,75.00,2025-11-15,2025-12-10,2025-12-08,Delivered
5,5,25000.00,2000,12.50,2025-11-20,2025-12-10,2025-12-09,Delivered
6,1,55000.00,1100,50.00,2025-11-25,2025-12-15,2025-12-16,Pending
7,2,40000.00,600,66.67,2025-12-01,2025-12-20,2025-12-21,Pending
8,3,80000.00,1600,50.00,2025-12-05,2026-01-05,2026-01-04,Pending
9,4,65000.00,900,72.22,2025-12-10,2026-01-10,2026-01-09,Pending
10,5,28000.00,2100,13.33,2025-12-15,2026-01-05,2026-01-06,Pending
