inspection_id,delivery_id,vendor_id,inspection_date,defect_count,total_items,inspection_result
1,1,1,2025-11-18,5,1000,Pass
2,2,2,2025-11-24,3,500,Pass
3,3,3,2025-12-06,25,1500,Fail
4,4,4,2025-12-09,2,800,Pass
5,5,5,2025-12-11,15,2000,Warning
6,6,1,2025-12-21,4,1100,Pass
7,7,2,2025-12-20,8,600,Warning
8,8,3,2026-01-08,30,1600,Fail
9,9,4,2026-01-09,1,900,Pass
10,10,5,2026-01-07,10,2100,Warning
11,11,6,2025-11-29,2,1200,Pass
12,12,7,2025-12-07,12,450,Warning
13,13,8,2025-12-13,3,800,Pass
14,14,9,2025-12-20,6,600,Pass
15,15,10,2026-01-02,4,550,Pass
